"date","close","volume","open","high","low"
"16:00","753.67","3,521,066","757.92","758.7595","747.70"
"2017/01/03","753.6700","3519877.0000","757.9200","758.7595","747.7000"
"2016/12/30","749.8700","4132707.0000","766.4700","767.3999","748.2800"
"2016/12/29","765.1500","3154980.0000","772.4000","773.4000","760.8500"
"2016/12/28","772.1300","3282597.0000","776.2500","780.0000","770.5000"
"2016/12/27","771.4000","2630692.0000","763.4000","774.6500","761.2000"
"2016/12/23","760.5900","1978722.0000","764.5500","766.5000","757.9900"
"2016/12/22","766.3400","2521462.0000","768.1200","771.2100","763.0200"
"2016/12/21","770.6000","2041288.0000","770.0000","771.2200","765.7000"
"2016/12/20","771.2200","2701395.0000","768.6500","774.3900","767.7100"
"2016/12/19","766.0000","3107956.0000","758.8900","770.5000","756.1600"
"2016/12/16","757.7700","4846155.0000","765.0000","765.1300","754.0000"
"2016/12/15","761.0000","3795503.0000","766.2800","769.1000","760.3100"
"2016/12/14","768.8200","5446965.0000","778.2500","780.8600","762.8100"
"2016/12/13","774.3400","5253129.0000","764.9600","782.4600","762.0000"
"2016/12/12","760.1200","2958869.0000","766.4000","766.8900","757.2000"
"2016/12/09","768.6600","2464356.0000","770.0000","770.2500","765.3400"
"2016/12/08","767.3300","3187047.0000","771.8700","773.7900","765.1900"
"2016/12/07","770.4200","3679153.0000","764.5500","770.4200","755.8200"
"2016/12/06","764.7200","3792379.0000","763.9900","768.2400","757.2500"
"2016/12/05","759.3600","4304728.0000","745.0000","761.4900","742.0000"
"2016/12/02","740.3400","3556552.0000","743.4000","748.4903","736.7000"
"2016/12/01","743.6500","4650761.0000","752.4100","753.3700","738.0300"
"2016/11/30","750.5700","4607152.0000","762.0000","768.0900","750.2500"
"2016/11/29","762.5200","3267884.0000","768.0000","769.8900","761.3200"
"2016/11/28","766.7700","4383855.0000","776.9900","777.0000","764.2400"
"2016/11/25","780.3700","1837068.0000","786.5000","786.7500","777.9000"
"2016/11/23","780.1200","3533297.0000","781.7300","781.7500","773.1200"
"2016/11/22","785.3300","5306588.0000","788.1700","792.4000","781.0000"
"2016/11/21","780.0000","4600908.0000","766.0000","780.3500","765.1100"
"2016/11/18","760.1600","4365888.0000","761.0000","767.7400","757.6435"
"2016/11/17","756.4000","3662939.0000","749.3200","757.5000","748.0000"
"2016/11/16","746.4900","3604217.0000","739.8800","749.8700","735.6100"
"2016/11/15","743.2400","6749867.0000","730.0000","746.7800","725.9900"
"2016/11/14","719.0700","7300631.0000","745.5100","746.0000","710.1000"
"2016/11/11","739.0100","6610022.0000","735.7300","743.2600","728.9000"
"2016/11/10","742.3800","12733320.0000","778.8100","778.8300","717.7000"
"2016/11/09","771.8800","8555177.0000","764.0000","777.5000","760.0900"
"2016/11/08","787.7500","3382350.0000","784.9700","791.7399","779.1000"
"2016/11/07","784.9300","5977338.0000","771.6400","787.7320","770.9400"
"2016/11/04","755.0500","5115398.0000","762.7900","766.0000","753.2301"
"2016/11/03","767.0300","3867205.0000","765.0500","777.0000","764.0000"
"2016/11/02","765.5600","4981311.0000","783.9300","784.7500","763.5500"
"2016/11/01","785.4100","5300121.0000","799.0000","800.8400","776.7130"
"2016/10/31","789.8200","5408996.0000","781.0300","793.7000","780.1100"
"2016/10/28","776.3200","10832630.0000","782.0000","789.4900","774.6100"
"2016/10/27","818.3600","7156567.0000","831.2400","831.7200","815.4300"
"2016/10/26","822.5900","3985249.0000","832.7600","833.4400","820.0000"
"2016/10/25","835.1800","3239776.0000","839.3000","843.0900","833.2200"
"2016/10/24","838.0900","4052218.0000","824.9500","838.3000","822.2100"
"2016/10/21","818.9900","2790354.0000","809.3600","819.4200","809.0000"
